,Unnamed: 0,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
0,0,Mead Johnson Nutrition CO,MJN,New York Stock Exchange,24.0,"30,000,000","$720,000,000",2009-02-11,/market-activity/ipos/overview?dealId=794428-59950,5500,"72,344,571",1736269704.0,225 NORTH CANAL STREET 25TH FLOOR  CHICAGO IL 60606,3124665800
1,1,"NIVS IntelliMedia Technology Group, Inc.",NIV,New York Stock Exchange,3.5,"550,000","$1,925,000",2009-03-13,/market-activity/ipos/overview?dealId=749089-59129,1650,"39,646,207",138761724.5,"NIVS INDUSTRY PARK, SHUIKOU, HUIZHOU,  GUANGDONG  516006",86-752-2323616
2,2,Changyou.com Ltd,CYOU,Nasdaq National Market,16.0,"7,500,000","$120,000,000",2009-04-02,/market-activity/ipos/overview?dealId=800114-60596,628,"7,500,000",120000000.0,"EAST TOWER, JING YAN BUILDING NO. 29 SHIJINGSHAN ROAD  BEIJING  100043",86 10 62 72 7777
3,3,Zovio Inc,ZVO,New York Stock Exchange,10.5,"13,500,000","$141,750,000",2009-04-15,/market-activity/ipos/overview?dealId=651558-59992,2971,"53,139,723",557967091.5,1811 E NORTHROP BLVD   CHANDLER AZ 85286,858-668-2586
4,4,ROSETTA STONE INC,RST,New York Stock Exchange,18.0,"6,250,000","$112,500,000",2009-04-16,/market-activity/ipos/overview?dealId=697501-59357,1218,"20,314,531",365661558.0,1621 NORTH KENT STREET SUITE 1200  ARLINGTON VA 22209,703-387-5800
5,7,DUOYUAN GLOBAL WATER INC.,DGW,New York Stock Exchange,16.0,"5,500,000","$88,000,000",2009-06-24,/market-activity/ipos/overview?dealId=805839-61197,931,"5,500,000",88000000.0,NO. 3 JINYUAN ROAD DAXING INDUSTRIAL DEVELOPMENT ZONE  BEIJING  102600,8610-6021-2222
6,8,Chemspec International Ltd,CPC,New York Stock Exchange,9.0,"8,087,000","$72,783,000",2009-06-24,/market-activity/ipos/overview?dealId=805489-61132,1247,"8,087,000",72783000.0,"3, LANE 1273, TONGPU ROAD   SHANGHAI  200333",(86)-21-5270-2636
7,9,"Medidata Solutions, Inc.",MDSO,Nasdaq National Market,14.0,"6,300,000","$88,200,000",2009-06-25,/market-activity/ipos/overview?dealId=796438-60220,549,"22,353,696",312951744.0,"350 HUDSON ST.,  9TH FLOOR   NEW YORK NY 10014",212.918.1800
8,10,Invesco Mortgage Capital Inc.,IVR,New York Stock Exchange,20.0,"8,500,000","$170,000,000",2009-06-26,/market-activity/ipos/overview?dealId=780830-58643,5122,"10,000,100",200002000.0,"TWO PEACHTREE POINTE 1555 PEACHTREE STREET, NE  ATLANTA GA 30309",404-892-0896
9,13,"LogMeIn, Inc.",LOGM,Nasdaq National Market,16.0,"6,666,667","$106,666,672",2009-07-01,/market-activity/ipos/overview?dealId=767160-57366,303,"21,383,301",342132816.0,"320 SUMMER STREET, SUITE 100   BOSTON MA 02210",781-638-9094
10,15,"Recon Technology, Ltd",RCON,Nasdaq SmallCap Market,6.0,"1,700,000","$10,200,000",2009-07-30,/market-activity/ipos/overview?dealId=785247-59113,96,"3,951,811",23710866.0,"ROOM 601, 1 SHUI'AN SOUTH STREET CHAOYANG DISTRICT  BEIJING  100012",86 10 8494-5799
11,16,PennyMac Mortgage Investment Trust,PMT,New York Stock Exchange,20.0,"16,000,000","$320,000,000",2009-07-30,/market-activity/ipos/overview?dealId=805446-61123,14,"16,735,317",334706340.0,3043 TOWNSGATE ROAD   WESTLAKE VILLAGE CA 91361,(818) 224-7442
12,17,GLOBE SPECIALTY METALS INC,GSM,Nasdaq National Market,7.0,"14,000,000","$98,000,000",2009-07-30,/market-activity/ipos/overview?dealId=728726-58967,1074,"72,544,254",507809778.0,"600 BRICKELL AVE., SUITE 3100   MIAMI FL 33131",786-509-6900
13,18,CDC Software CORP,CDCS,Nasdaq National Market,12.0,"4,800,000","$57,600,000",2009-08-06,/market-activity/ipos/overview?dealId=808556-61553,1284,"4,800,000",57600000.0,11/F ING TOWER 308 DES VOEUX ROAD CENTRAL  HONG KONG  00000,011-852-2893-8200
14,19,Avago Technologies LTD,AVGO,Nasdaq National Market,15.0,"43,200,000","$648,000,000",2009-08-06,/market-activity/ipos/overview?dealId=786169-59170,3400,"235,888,203",3538323045.0,1 YISHUN AVENUE 7   SINGAPORE  768923,65-6755-7888
