,company_name
0,Mead Johnson Nutrition CO
1,"NIVS IntelliMedia Technology Group, Inc."
2,Changyou.com Ltd
3,ROSETTA STONE INC
4,DUOYUAN GLOBAL WATER INC.
5,Chemspec International Ltd
6,"Medidata Solutions, Inc."
7,"LogMeIn, Inc."
8,CDC Software CORP
9,LIHUA INTERNATIONAL INC.
10,"Tri-Tech Holding, Inc."
11,Artio Global Investors Inc.
12,"B456 SYSTEMS, INC."
13,"Vitacost.com, Inc."
14,Shanda Games Ltd
15,Talecris Biotherapeutics Holdings Corp.
16,EDUCATION MANAGEMENT Corp
17,RAILAMERICA INC /DE
18,China Real Estate Information Corp
19,PENN MILLERS HOLDING CORP
20,"AGA Medical Holdings, Inc."
21,DOLE FOOD CO INC
22,"Vitamin Shoppe, Inc."
23,Ancestry.com Inc.
24,"DUOYUAN PRINTING, INC."
25,"rue21, inc."
26,"Archipelago Learning, Inc."
27,7 Days Group Holdings LTD
28,CLOUD PEAK ENERGY INC.
29,"Cellu Tissue Holdings, Inc."
30,Symetra Financial CORP
31,China Hydroelectric Corp
32,IFM Investments Ltd
33,"CHINA ELECTRIC MOTOR, INC."
34,"Financial Engines, LLC"
35,MERU NETWORKS INC
36,TENGION INC
37,R1 RCM INC.
38,ReachLocal Inc
39,DynaVox Inc.
40,MusclePharm Corp
41,Global Geophysical Services Inc
42,MITEL NETWORKS CORP
43,Lianluo Smart Ltd
44,"Excel Trust, Inc."
45,"Convio, Inc."
46,Charm Communications Inc.
47,Niska Gas Storage Partners LLC
48,Luokung Technology Corp.
49,Noranda Aluminum Holding CORP
50,GHN Agrispan Holding Co
51,CHINA NEW BORUN Corp
52,"BROADSOFT, INC."
53,MOTRICITY INC
54,"China Intelligent Lighting & Electronics, Inc."
55,"XpresSpa Group, Inc."
56,Pactera Technology International Ltd.
57,AutoNavi Holdings Ltd
58,ENERGY CORP OF AMERICA
59,SMART Technologies Inc.
60,QLIK TECHNOLOGIES INC
61,RealD Inc.
62,BIQI INTERNATIONAL HOLDINGS CORP
63,Camelot Information Systems Inc.
64,"Molycorp, Inc."
65,WILLIAMS PARTNERS L.P.
66,Trius Therapeutics Inc
67,MEAT TECH 3D LTD
68,"G-Estate Liquidation Stores, Inc."
69,"IntraLinks Holdings, Inc."
70,NUPATHE INC.
71,MediaMind Technologies Inc.
72,China Kanghui Holdings
73,LEAF GROUP LTD.
74,Velti plc
75,InterXion Holding N.V.
76,Qihoo 360 Technology Co Ltd
77,SANDRIDGE ENERGY INC
78,Carbonite Inc
79,Tudou Holdings Ltd
80,Ubiquiti Inc.
81,Zeltiq Aesthetics Inc
82,"East Dubuque Nitrogen Partners, L.P."
83,IMPERVA INC
84,PACIFIC DRILLING S.A.
85,"LUMOS PHARMA, INC."
86,InvenSense Inc
87,Aptiv PLC
88,INTERMOLECULAR INC
89,MATTRESS FIRM HOLDING CORP.
90,"Digital Domain Media Group, Inc."
91,AMPLIFY ENERGY CORP
92,"Jive Software, Inc."
93,Gazit-Globe Ltd
94,Sanchez Energy Corp
95,Capri Holdings Ltd
96,Nationstar Mortgage Holdings Inc.
97,Demandware Inc
98,"Worldpay, Inc."
99,"Annie's, Inc."
100,Millennial Media Inc.
101,CAFEPRESS INC.
102,PetroLogistics LP
103,"WAGEWORKS, INC."
104,AUDIENCE INC
105,Edwards Group Ltd
106,"Ignite Restaurant Group, Inc."
107,Cencosud S.A.
108,EXA CORP
109,"Tesaro, Inc."
110,"Durata Therapeutics, Inc."
111,KAYAK SOFTWARE Corp
112,E2open Inc
113,HYPERION THERAPEUTICS INC
114,Northern Tier Energy LP
115,"AmREIT, Inc."
116,"Del Frisco's Restaurant Group, Inc."
117,"Eloqua, Inc."
118,PEREGRINE SEMICONDUCTOR CORP
119,Capital Bank Financial Corp.
120,"TRULIA, INC."
121,"LIFELOCK, INC."
122,Fleetmatics Group Ltd
123,Amira Nature Foods Ltd.
124,KYTHERA BIOPHARMACEUTICALS INC
125,METHES ENERGIES INTERNATIONAL LTD
126,WhiteWave Foods CO
127,"CVR Refining, LP"
128,LIPOSCIENCE INC
129,"HUMANIGEN, INC"
130,"Benefytt Technologies, Inc."
131,"Atlas Financial Holdings, Inc."
132,XOOM Corp
133,"Vyant Bio, Inc."
134,"Omthera Pharmaceuticals, Inc."
135,Rally Software Development Corp
136,Fairway Group Holdings Corp
137,TAMINCO Corp
138,Intelsat S.A.
139,"BLACKHAWK NETWORK HOLDINGS, INC"
140,"Insys Therapeutics, Inc."
141,CYAN INC
142,"American Residential Properties, Inc."
143,IQVIA HOLDINGS INC.
144,"Receptos, Inc."
145,BioAmber Inc.
146,Golden Mountain Financial Corp
147,WILLIAM LYON HOMES
148,"FRONTEO, INC."
149,AMBIT BIOSCIENCES CORP
150,"Marketo, Inc."
151,Tableau Software Inc
152,PORTOLA PHARMACEUTICALS INC
153,PLY GEM HOLDINGS INC
154,"GLOBAL BRASS & COPPER HOLDINGS, INC."
155,"UCP, Inc."
156,OncoMed Pharmaceuticals Inc
157,"RetailMeNot, Inc."
158,"Vislink Technologies, Inc."
159,"Diamond Resorts International, Inc."
160,AENZA S.A.A.
161,"Jones Energy, Inc."
162,Histogen Inc.
163,"CELLULAR DYNAMICS INTERNATIONAL, INC."
164,"WCI Communities, Inc."
165,"Liquid Holdings Group, Inc."
166,CONTROL4 CORP
167,Athlon Energy Inc.
168,Yume Inc
169,"PRECIGEN, INC."
170,"BMC STOCK HOLDINGS, INC."
171,CVENT INC
172,"TD Holdings, Inc."
173,"Envision Healthcare Holdings, Inc."
174,SiriusPoint Ltd
175,"Tobira Therapeutics, Inc."
176,Ciner Resources LP
177,"ClubCorp Holdings, Inc."
178,Rocket Fuel Inc.
179,"DNIB UNWIND, INC."
180,"Foundation Medicine, Inc."
181,"IVERIC bio, Inc."
182,MONTAGE TECHNOLOGY GROUP LTD
183,Covisint Corp
184,Enzymotec Ltd.
185,Pattern Energy Group Inc.
186,Violin Memory Inc
187,LDR HOLDING CORP
188,"SFX Entertainment, INC"
189,STONEGATE MORTGAGE CORP
190,"ABENGOA, S.A."
191,"Endurance International Group Holdings, Inc."
192,58.com Inc.
193,Qunar Cayman Islands Ltd.
194,BARRACUDA NETWORKS INC
195,Zenith Energy Logistics Partners LP
196,MAVENIR SYSTEMS INC
197,"Norcraft Companies, Inc."
198,J.G. Wentworth Co
199,Eros STX Global Corp
200,"Zulily, Inc."
201,Relypsa Inc
202,Sungy Mobile Ltd
203,Oxford Immunotec Global PLC
204,Kofax Ltd
205,Fidelity & Guaranty Life
206,Nimble Storage Inc
207,Zhaopin Ltd
208,"MOBILEIRON, INC."
209,"Range Resources - Louisiana, Inc."
210,"ZS Pharma, Inc."
211,Parnell Pharmaceuticals Holdings Ltd
212,"Viridian Therapeutics, Inc.\DE"
213,"Larimar Therapeutics, Inc."
214,IHS Markit Ltd.
215,Montage Resources Corp
216,"Kite Pharma, Inc."
217,Imprivata Inc
218,TCP International Holdings Ltd.
219,TERMINIX GLOBAL HOLDINGS INC
220,Moko Social Media Ltd
221,"DIGILITI MONEY GROUP, INC."
222,"Sorrento Tech, Inc."
223,TUBEMOGUL INC
224,Pfenex Inc.
225,IMMUNE DESIGN CORP.
226,CONTRAFECT Corp
227,"Adverum Biotechnologies, Inc."
228,"LEAP THERAPEUTICS, INC."
229,Mobileye B.V.
230,"FCB FINANCIAL HOLDINGS, INC."
231,iDreamSky Technology Ltd
232,"Green Bancorp, Inc."
233,"C1 Financial, Inc."
234,"Civitas Solutions, Inc."
235,"Eledon Pharmaceuticals, Inc."
236,Foamix Pharmaceuticals Ltd.
237,"Smart & Final Stores, Inc."
238,"Vitae Pharmaceuticals, Inc"
239,Travelport Worldwide LTD
240,"State National Companies, Inc."
241,"Syneos Health, Inc."
242,"Sky Solar Holdings, Ltd."
243,Virgin America Inc.
244,NeuroDerm Ltd.
245,eHi Car Services Ltd
246,Cnova N.V.
247,"Habit Restaurants, Inc."
248,"Evofem Biosciences, Inc."
249,Peak Resorts Inc
250,Neff Corp
251,"Ocugen, Inc."
252,"Hortonworks, Inc."
253,Stellantis N.V.
254,CONNECTURE INC
255,Metaldyne Performance Group Inc.
256,Avolon Holdings Ltd
257,"On Deck Capital, Inc."
258,"Juno Therapeutics, Inc."
259,Nexvet Biopharma plc
260,"Avenue Financial Holdings, Inc."
261,Check-Cap Ltd
262,"MaxPoint Interactive, Inc."
263,National Commerce Corp
264,SteadyMed Ltd.
265,Franklin Financial Network Inc.
266,Mercurity Fintech Holding Inc.
267,"KalVista Pharmaceuticals, Inc."
268,"CHINOOK THERAPEUTICS, INC."
269,Apigee Corp
270,"Bojangles', Inc."
271,"Fenix Parts, Inc."
272,"Black Knight, Inc."
273,"Press Ganey Holdings, Inc."
274,"Sierra Oncology, Inc."
275,"Blue Buffalo Pet Products, Inc."
276,"ImmunityBio, Inc."
277,FULING GLOBAL INC.
278,Advanced Accelerator Applications S.A.
279,"XTERA COMMUNICATIONS, INC."
280,INSTRUCTURE INC
281,"Sensus Healthcare, Inc."
282,"9 METERS BIOPHARMA, INC."
283,"AdvancePierre Foods Holdings, Inc."
284,"Audentes Therapeutics, Inc."
285,Patheon N.V.
286,Long Blockchain Corp.
287,Apptio Inc
288,"MedEquities Realty Trust, Inc."
289,"Brazos Valley Longhorn, L.L.C."
290,"Nisun International Enterprise Development Group Co., Ltd"
291,"Foundation Building Materials, Inc."
292,"Presidio, Inc."
293,"MULESOFT, INC"
294,Valeritas Holdings Inc.
295,Netshoes (Cayman) Ltd.
296,"Forte Biosciences, Inc."
297,"Ontrak, Inc."
298,SOS Ltd
299,"AKCEA THERAPEUTICS, INC."
300,"Sienna Biopharmaceuticals, Inc."
301,BEST Inc.
302,Nightstar Therapeutics plc
303,AQUANTIA CORP
304,InflaRx N.V.
305,FinVolution Group
306,"SendGrid, Inc."
307,"X4 Pharmaceuticals, Inc"
308,"cbdMD, Inc."
309,"Enveric Biosciences, Inc."
310,"Pivotal Software, Inc."
311,"Vinco Ventures, Inc."
312,"Carbon Black, Inc."
313,"Eidos Therapeutics, Inc."
314,"Neon Therapeutics, Inc."
315,"Forty Seven, Inc."
316,"BioNano Genomics, Inc"
317,Pintec Technology Holdings Ltd
318,"Toughbuilt Industries, Inc"
319,"Synthorx, Inc."
320,"MMTec, Inc."
321,Futu Holdings Ltd
322,Luckin Coffee Inc.
323,"Livongo Health, Inc."
324,Wanda Sports Group Co Ltd
325,XP Inc.
326,"Accolade, Inc."
327,"Pandion Therapeutics, Inc."
328,Freeline Therapeutics Holdings plc
329,CureVac N.V.
330,Chindata Group Holdings Ltd
331,Yalla Group Ltd
332,Alset EHome International Inc.
