,company_name
0,OFFICE PROPERTIES INCOME TRUST
1,"CYS Investments, Inc."
2,"MacroShares Housing Depositor, LLC"
3,"MacroShares Housing Depositor, LLC"
4,Territorial Bancorp Inc.
5,"STARWOOD PROPERTY TRUST, INC."
6,"Vivakor, Inc."
7,Aberdeen Standard Gold ETF Trust
8,CreXus Investment Corp.
9,"Apollo Commercial Real Estate Finance, Inc."
10,"United States Short Oil Fund, LP"
11,"Colony Capital, Inc."
12,"Inspyr Therapeutics, Inc."
13,"WEED, INC."
14,"Arista Power, Inc."
15,ISHARES DIVERSIFIED ALTERNATIVES TRUST
16,"United States 12 Month Natural Gas Fund, LP"
17,"Plastec Technologies, Ltd."
18,Worry Free Tea House Holdings Company
19,Revolutionary Concepts Inc
20,Chesapeake Lodging Trust
21,Baltic Trading Ltd
22,CRUDE CARRIERS CORP.
23,CorMedix Inc.
24,Scorpio Tankers Inc.
25,Chatham Lodging Trust
26,QuantGate Systems Inc.
27,PAA NATURAL GAS STORAGE LP
28,Predictive Oncology Inc.
29,S&W Seed Co
30,"Crumbs Bake Shop, Inc."
31,KEYNES TECHNOLOGY CO LTD
32,"United States Brent Oil Fund, LP"
33,Teucrium Commodity Trust
34,"Westmoreland Resource Partners, LP"
35,United States Commodity Index Funds Trust
36,ETFS Asian Gold Trust
37,"ARABELLA EXPLORATION, INC."
38,PRIME ACQUISITION CORP
39,MTGE Investment Corp.
40,Africa Growth Corp
41,"VEREIT, Inc."
42,"Poage Bankshares, Inc."
43,Teucrium Commodity Trust
44,Teucrium Commodity Trust
45,Teucrium Commodity Trust
46,"HINTO ENERGY, INC"
47,Invesco CurrencyShares Chinese Renminbi Trust
48,"BSB Bancorp, Inc."
49,Enduro Resource Partners LLC
50,Healthcare Corp of America
51,"LRR Energy, L.P."
52,CHESAPEAKE ENERGY CORP
53,United States Commodity Index Funds Trust
54,"Angie's List, Inc."
55,"Rose Rock Midstream, L.P."
56,"Mid-Con Energy Partners, LP"
57,Crestwood Midstream Partners LP
58,"AMERICAN REALTY CAPITAL TRUST, INC."
59,SELECT INCOME REIT
60,"MOJO DATA SOLUTIONS, INC."
61,Tecnoglass Inc.
62,BGS Acquisition Corp.
63,WHITING PETROLEUM CORP
64,Teucrium Commodity Trust
65,Pacific Coast Oil Trust
66,"Rezolute, Inc."
67,Western Asset Mortgage Capital Corp
68,GLOBAL GREEN INC.
69,STREAM Exchange Traded Trust
70,"EQM Midstream Partners, LP"
71,"FS Bancorp, Inc."
72,"VAPORIN, INC."
73,Infinity Cross Border Acquisition Corp
74,Hyde Park Acquisition Corp. II
75,Hi-Crush Inc.
76,"ENDEAVOR IP, INC."
77,Sunoco LP
78,"Santander Mexico Financial Group, S.A.B. de C.V."
79,"Summit Midstream Partners, LP"
