,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
24,LIHUA INTERNATIONAL INC.,LIWA,Nasdaq National Market,4.0,"2,300,000","$9,200,000",2009-09-04,/market-activity/ipos/overview?dealId=744042-61219
25,Aberdeen Standard Gold ETF Trust,SGOL,New York Stock Exchange,98.98,"11,000,000","$1,088,780,000",2009-09-09,/market-activity/ipos/overview?dealId=801155-60663
26,"Tri-Tech Holding, Inc.",TRIT,Nasdaq SmallCap Market,6.75,"1,700,000","$11,475,000",2009-09-10,/market-activity/ipos/overview?dealId=802207-60740
27,CreXus Investment Corp.,CXS,New York Stock Exchange,15.0,"13,333,334","$200,000,010",2009-09-17,/market-activity/ipos/overview?dealId=807421-61403
28,Artio Global Investors Inc.,ART,New York Stock Exchange,26.0,"25,000,000","$650,000,000",2009-09-24,/market-activity/ipos/overview?dealId=770282-57665
29,"B456 SYSTEMS, INC.",AONE,Nasdaq National Market,13.5,"28,180,501","$380,436,764",2009-09-24,/market-activity/ipos/overview?dealId=97902-59078
30,"Apollo Commercial Real Estate Finance, Inc.",ARI,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2009-09-24,/market-activity/ipos/overview?dealId=808272-61519
31,"United States Short Oil Fund, LP",DNO,New York Stock Exchange,52.2,"25,000,000","$1,305,000,000",2009-09-24,/market-activity/ipos/overview?dealId=783158-58906
32,"Vitacost.com, Inc.",VITC,Nasdaq National Market,12.0,"11,000,000","$132,000,000",2009-09-24,/market-activity/ipos/overview?dealId=747978-55048
33,"Colony Capital, Inc.",CLNY,New York Stock Exchange,20.0,"12,500,000","$250,000,000",2009-09-24,/market-activity/ipos/overview?dealId=807592-61419
34,Shanda Games Ltd,GAME,Nasdaq National Market,12.5,"83,500,000","$1,043,750,000",2009-09-25,/market-activity/ipos/overview?dealId=811286-61963
35,SELECT MEDICAL HOLDINGS CORP,SEM,New York Stock Exchange,10.0,"30,000,000","$300,000,000",2009-09-25,/market-activity/ipos/overview?dealId=667059-58969
36,Talecris Biotherapeutics Holdings Corp.,TLCR,Nasdaq National Market,19.0,"50,000,000","$950,000,000",2009-10-01,/market-activity/ipos/overview?dealId=752460-55534
37,"Echo Global Logistics, Inc.",ECHO,Nasdaq National Market,14.0,"5,700,000","$79,800,000",2009-10-02,/market-activity/ipos/overview?dealId=777083-58222
38,EDUCATION MANAGEMENT Corp,EDMC,Nasdaq National Market,18.0,"20,000,000","$360,000,000",2009-10-02,/market-activity/ipos/overview?dealId=5057-57174
39,"Verisk Analytics, Inc.",VRSK,Nasdaq National Market,22.0,"85,250,000","$1,875,500,000",2009-10-07,/market-activity/ipos/overview?dealId=785278-59119
40,Banco Santander (Brasil) S.A.,BSBR,New York Stock Exchange,13.4033,"525,000,000","$7,035,000,000",2009-10-07,/market-activity/ipos/overview?dealId=811264-61961
41,OMEROS CORP,OMER,Nasdaq National Market,10.0,"6,820,000","$68,200,000",2009-10-08,/market-activity/ipos/overview?dealId=629740-57346
42,"Mistras Group, Inc.",MG,New York Stock Exchange,12.5,"8,700,000","$108,750,000",2009-10-08,/market-activity/ipos/overview?dealId=780483-58603
43,RAILAMERICA INC /DE,RA,New York Stock Exchange,15.0,"22,000,000","$330,000,000",2009-10-13,/market-activity/ipos/overview?dealId=3442-61640
44,China Real Estate Information Corp,CRIC,Nasdaq National Market,12.0,"18,000,000","$216,000,000",2009-10-16,/market-activity/ipos/overview?dealId=812805-62189
45,PENN MILLERS HOLDING CORP,PMIC,Nasdaq National Market,10.0,"6,772,221","$67,722,210",2009-10-19,/market-activity/ipos/overview?dealId=796436-60219
46,"ZST Digital Networks, Inc.",ZSTN,Nasdaq National Market,8.0,"3,125,000","$25,000,000",2009-10-20,/market-activity/ipos/overview?dealId=749091-61426
47,"AGA Medical Holdings, Inc.",AGAM,Nasdaq National Market,14.5,"13,750,000","$199,375,000",2009-10-21,/market-activity/ipos/overview?dealId=781274-58694
48,DOLE FOOD CO INC,DOLE,New York Stock Exchange,12.5,"35,715,000","$446,437,500",2009-10-23,/market-activity/ipos/overview?dealId=11988-61809
49,Addus HomeCare Corp,ADUS,Nasdaq National Market,10.0,"5,400,000","$54,000,000",2009-10-28,/market-activity/ipos/overview?dealId=808693-61565
50,"Vitamin Shoppe, Inc.",VSI,New York Stock Exchange,17.0,"9,096,077","$154,633,309",2009-10-28,/market-activity/ipos/overview?dealId=711886-61612
51,"Inspyr Therapeutics, Inc.",GNSZ,OTCBB,2.0,"10,965,791","$21,931,582",2009-11-02,/market-activity/ipos/overview?dealId=764799-62336
52,Ancestry.com Inc.,ACOM,Nasdaq National Market,13.5,"7,407,407","$99,999,995",2009-11-05,/market-activity/ipos/overview?dealId=809494-61677
53,Hyatt Hotels Corp,H,New York Stock Exchange,25.0,"38,000,000","$950,000,000",2009-11-05,/market-activity/ipos/overview?dealId=809680-61714
54,"STR HOLDINGS, INC.",STRI,New York Stock Exchange,10.0,"12,300,000","$123,000,000",2009-11-06,/market-activity/ipos/overview?dealId=813353-62269
55,"DUOYUAN PRINTING, INC.",DYP,New York Stock Exchange,8.5,"6,455,918","$54,875,303",2009-11-06,/market-activity/ipos/overview?dealId=66956-62012
56,"WEED, INC.",UNMN,OTCBB,5.0,"1,589,074","$7,945,370",2009-11-10,/market-activity/ipos/overview?dealId=738407-60033
57,DOLLAR GENERAL CORP,DG,New York Stock Exchange,21.0,"34,100,000","$716,100,000",2009-11-13,/market-activity/ipos/overview?dealId=1605-61859
58,"rue21, inc.",RUE,Nasdaq National Market,19.0,"6,765,437","$128,543,303",2009-11-13,/market-activity/ipos/overview?dealId=811633-62031
59,"Arista Power, Inc.",WNDT,OTCBB,0.8,"9,500,000","$7,600,000",2009-11-16,/market-activity/ipos/overview?dealId=768304-60361
60,ISHARES DIVERSIFIED ALTERNATIVES TRUST,ALT,New York Stock Exchange,50.0,"20,000,000","$1,000,000,000",2009-11-16,/market-activity/ipos/overview?dealId=785927-59159
61,"Fortinet, Inc.",FTNT,Nasdaq National Market,12.5,"12,500,000","$156,250,000",2009-11-18,/market-activity/ipos/overview?dealId=592969-61740
62,"United States 12 Month Natural Gas Fund, LP",UNL,New York Stock Exchange,50.0,"30,000,000","$1,500,000,000",2009-11-18,/market-activity/ipos/overview?dealId=750093-55289
63,"Archipelago Learning, Inc.",ARCL,Nasdaq National Market,16.5,"6,250,000","$103,125,000",2009-11-20,/market-activity/ipos/overview?dealId=811298-61966
64,"SOTERA DEFENSE SOLUTIONS, INC.",GTEC,Nasdaq National Market,13.0,"4,600,000","$59,800,000",2009-11-20,/market-activity/ipos/overview?dealId=811299-61969
65,7 Days Group Holdings LTD,SVN,New York Stock Exchange,11.0,"10,100,000","$111,100,000",2009-11-20,/market-activity/ipos/overview?dealId=814839-62470
66,CLOUD PEAK ENERGY INC.,CLD,New York Stock Exchange,15.0,"30,600,000","$459,000,000",2009-11-20,/market-activity/ipos/overview?dealId=784927-61784
67,"Plastec Technologies, Ltd.",GSMEF,OTCBB,10.0,"3,600,000","$36,000,000",2009-11-20,/market-activity/ipos/overview?dealId=813928-62354
68,Worry Free Tea House Holdings Company,DRSX,OTCBB,1.0,"22,235,868","$22,235,868",2009-11-25,/market-activity/ipos/overview?dealId=764877-58919
69,Revolutionary Concepts Inc,REVO,OTCBB,1.25,"3,642,200","$4,552,750",2009-11-25,/market-activity/ipos/overview?dealId=667455-58467
70,Chesapeake Lodging Trust,CHSP,New York Stock Exchange,20.0,"7,500,000","$150,000,000",2010-01-22,/market-activity/ipos/overview?dealId=812716-62173
71,"Cellu Tissue Holdings, Inc.",CLU,New York Stock Exchange,13.0,"8,300,000","$107,900,000",2010-01-22,/market-activity/ipos/overview?dealId=648615-62353
72,Symetra Financial CORP,SYA,New York Stock Exchange,12.0,"30,400,000","$364,800,000",2010-01-22,/market-activity/ipos/overview?dealId=749215-62247
73,China Hydroelectric Corp,CHC,New York Stock Exchange,16.0,"6,000,000","$96,000,000",2010-01-25,/market-activity/ipos/overview?dealId=817076-62817
74,Andatee China Marine Fuel Services Corp,AMCF,Nasdaq National Market,6.3,"3,134,921","$19,750,002",2010-01-26,/market-activity/ipos/overview?dealId=810870-61911
75,IFM Investments Ltd,CTC,New York Stock Exchange,7.0,"12,487,500","$87,412,500",2010-01-28,/market-activity/ipos/overview?dealId=818638-63053
76,"CHINA ELECTRIC MOTOR, INC.",CELM,Nasdaq National Market,4.5,"5,000,000","$22,500,000",2010-01-29,/market-activity/ipos/overview?dealId=767729-62318
77,Anthera Pharmaceuticals Inc,ANTH,Nasdaq National Market,7.0,"6,000,000","$42,000,000",2010-03-01,/market-activity/ipos/overview?dealId=662796-62065
78,Baltic Trading Ltd,BALT,New York Stock Exchange,14.0,"16,300,000","$228,200,000",2010-03-10,/market-activity/ipos/overview?dealId=813657-62314
79,Sensata Technologies Holding plc,ST,New York Stock Exchange,18.0,"31,600,000","$568,800,000",2010-03-11,/market-activity/ipos/overview?dealId=816487-62697
80,"AVEO PHARMACEUTICALS, INC.",AVEO,Nasdaq National Market,9.0,"9,000,000","$81,000,000",2010-03-12,/market-activity/ipos/overview?dealId=672770-62887
81,CRUDE CARRIERS CORP.,CRU,New York Stock Exchange,19.0,"13,500,000","$256,500,000",2010-03-12,/market-activity/ipos/overview?dealId=822780-63448
82,"Financial Engines, LLC",FNGN,Nasdaq National Market,12.0,"10,600,000","$127,200,000",2010-03-16,/market-activity/ipos/overview?dealId=817169-62828
83,"CALIX, INC",CALX,New York Stock Exchange,13.0,"6,328,932","$82,276,116",2010-03-24,/market-activity/ipos/overview?dealId=750845-62665
84,MAXLINEAR INC,MXL,New York Stock Exchange,14.0,"6,444,100","$90,217,400",2010-03-24,/market-activity/ipos/overview?dealId=632487-62514
85,FIRST INTERSTATE BANCSYSTEM INC,FIBK,Nasdaq National Market,14.5,"10,000,000","$145,000,000",2010-03-24,/market-activity/ipos/overview?dealId=30498-63137
86,CorMedix Inc.,CRMD,American Stock Exchange,6.5,"1,925,000","$12,512,500",2010-03-25,/market-activity/ipos/overview?dealId=754944-62714
87,Huazhu Group Ltd,HTHT,Nasdaq National Market,12.25,"9,000,000","$110,250,000",2010-03-26,/market-activity/ipos/overview?dealId=823166-63493
88,MERU NETWORKS INC,MERU,Nasdaq National Market,15.0,"4,386,784","$65,801,760",2010-03-31,/market-activity/ipos/overview?dealId=97877-62919
89,SS&C Technologies Holdings Inc,SSNC,Nasdaq National Market,15.0,"10,725,000","$160,875,000",2010-03-31,/market-activity/ipos/overview?dealId=747205-63008
90,Scorpio Tankers Inc.,STNG,New York Stock Exchange,13.0,"12,500,000","$162,500,000",2010-03-31,/market-activity/ipos/overview?dealId=821647-63381
91,"Primerica, Inc.",PRI,New York Stock Exchange,15.0,"21,360,000","$320,400,000",2010-04-01,/market-activity/ipos/overview?dealId=815167-62504
92,TENGION INC,TNGN,Nasdaq National Market,5.0,"6,000,000","$30,000,000",2010-04-09,/market-activity/ipos/overview?dealId=642106-62988
93,METALS USA HOLDINGS CORP.,MUSA,New York Stock Exchange,21.0,"11,426,315","$239,952,615",2010-04-09,/market-activity/ipos/overview?dealId=710185-58410
94,Chatham Lodging Trust,CLDT,New York Stock Exchange,20.0,"7,500,000","$150,000,000",2010-04-16,/market-activity/ipos/overview?dealId=815070-62498
95,R1 RCM INC.,AH,New York Stock Exchange,12.0,"10,000,000","$120,000,000",2010-04-20,/market-activity/ipos/overview?dealId=812727-62176
96,ReachLocal Inc,RLOC,Nasdaq National Market,13.0,"4,166,667","$54,166,671",2010-04-20,/market-activity/ipos/overview?dealId=643264-62938
97,DynaVox Inc.,DVOX,Nasdaq National Market,15.0,"9,375,000","$140,625,000",2010-04-22,/market-activity/ipos/overview?dealId=818639-63055
98,SPS COMMERCE INC,SPSC,Nasdaq National Market,12.0,"4,096,694","$49,160,328",2010-04-22,/market-activity/ipos/overview?dealId=159725-62788
99,MusclePharm Corp,TTWZ,OTCBB,0.12,"16,654,238","$1,998,509",2010-04-22,/market-activity/ipos/overview?dealId=761194-56640
100,QuantGate Systems Inc.,LOTI,OTCBB,2.5,"11,000,000","$27,500,000",2010-04-22,/market-activity/ipos/overview?dealId=806443-61263
101,Global Geophysical Services Inc,GGS,New York Stock Exchange,12.0,"7,500,000","$90,000,000",2010-04-22,/market-activity/ipos/overview?dealId=657832-62351
102,MITEL NETWORKS CORP,MITL,Nasdaq National Market,14.0,"10,526,316","$147,368,424",2010-04-22,/market-activity/ipos/overview?dealId=106107-62946
103,"CODEXIS, INC.",CDXS,Nasdaq National Market,13.0,"6,000,000","$78,000,000",2010-04-22,/market-activity/ipos/overview?dealId=383247-63009
104,ALIMERA SCIENCES INC,ALIM,Nasdaq National Market,11.0,"6,550,000","$72,050,000",2010-04-22,/market-activity/ipos/overview?dealId=600840-62462
105,Lianluo Smart Ltd,DHRM,Nasdaq SmallCap Market,8.0,"1,500,000","$12,000,000",2010-04-22,/market-activity/ipos/overview?dealId=815490-62552
106,"Excel Trust, Inc.",EXL,New York Stock Exchange,14.0,"15,000,000","$210,000,000",2010-04-23,/market-activity/ipos/overview?dealId=818190-63002
107,"Convio, Inc.",CNVO,Nasdaq National Market,9.0,"5,132,728","$46,194,552",2010-04-29,/market-activity/ipos/overview?dealId=755547-63195
108,ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,Nasdaq National Market,18.0,"5,085,985","$91,547,730",2010-04-29,/market-activity/ipos/overview?dealId=732422-63753
109,PAA NATURAL GAS STORAGE LP,PNG,New York Stock Exchange,21.5,"11,720,000","$251,980,000",2010-04-30,/market-activity/ipos/overview?dealId=819920-63191
110,Predictive Oncology Inc.,BIOR,OTCBB,0.35,"13,030,747","$4,560,761",2010-05-03,/market-activity/ipos/overview?dealId=792032-59668
111,S&W Seed Co,SANWU,Nasdaq Smallcap Market,11.0,"1,400,000","$15,400,000",2010-05-04,/market-activity/ipos/overview?dealId=820326-63236
112,Charm Communications Inc.,CHRM,Nasdaq National Market,9.5,"7,812,500","$74,218,750",2010-05-05,/market-activity/ipos/overview?dealId=825664-63850
113,"DOUGLAS DYNAMICS, INC",PLOW,New York Stock Exchange,11.25,"10,000,000","$112,500,000",2010-05-05,/market-activity/ipos/overview?dealId=631367-63238
114,Niska Gas Storage Partners LLC,NKA,New York Stock Exchange,20.5,"17,500,000","$358,750,000",2010-05-12,/market-activity/ipos/overview?dealId=821926-63408
115,"TeleNav, Inc.",TNAV,Nasdaq National Market,8.0,"7,000,000","$56,000,000",2010-05-13,/market-activity/ipos/overview?dealId=814743-62458
116,"EXPRESS, INC.",EXPR,New York Stock Exchange,17.0,"16,000,000","$272,000,000",2010-05-13,/market-activity/ipos/overview?dealId=821458-63364
117,"Roadrunner Transportation Systems, Inc.",RRTS,New York Stock Exchange,14.0,"10,600,644","$148,409,016",2010-05-13,/market-activity/ipos/overview?dealId=783787-58963
118,Luokung Technology Corp.,KONE,Nasdaq SmallCap Market,4.0,"4,000,000","$16,000,000",2010-05-14,/market-activity/ipos/overview?dealId=825909-63879
119,Noranda Aluminum Holding CORP,NOR,New York Stock Exchange,8.0,"10,000,000","$80,000,000",2010-05-14,/market-activity/ipos/overview?dealId=769203-58315
120,"JinkoSolar Holding Co., Ltd.",JKS,New York Stock Exchange,11.0,"5,835,000","$64,185,000",2010-05-14,/market-activity/ipos/overview?dealId=819660-63161
121,"Crumbs Bake Shop, Inc.",SQTCU,OTCBB,10.0,"5,000,000","$50,000,000",2010-05-20,/market-activity/ipos/overview?dealId=815811-62603
122,KEYNES TECHNOLOGY CO LTD,GLMB,OTCBB,0.25,"1,500,000","$375,000",2010-05-27,/market-activity/ipos/overview?dealId=768266-58895
123,"GenMark Diagnostics, Inc.",GNMK,Nasdaq National Market,6.0,"4,600,000","$27,600,000",2010-05-28,/market-activity/ipos/overview?dealId=824263-63652
124,"United States Brent Oil Fund, LP",BNO,New York Stock Exchange,50.97,"50,000,000","$2,548,500,000",2010-06-02,/market-activity/ipos/overview?dealId=812117-62101
125,GHN Agrispan Holding Co,GHNA,OTCBB,0.05,"850,000","$42,500",2010-06-03,/market-activity/ipos/overview?dealId=813737-62330
126,Teucrium Commodity Trust,CORN,New York Stock Exchange,25.0,"30,000,000","$750,000,000",2010-06-09,/market-activity/ipos/overview?dealId=812164-62112
127,CHINA NEW BORUN Corp,BORN,New York Stock Exchange,7.0,"5,725,000","$40,075,000",2010-06-11,/market-activity/ipos/overview?dealId=826751-63980
128,"Cboe Global Markets, Inc.",CBOE,Nasdaq National Market,29.0,"11,700,000","$339,300,000",2010-06-15,/market-activity/ipos/overview?dealId=733051-63582
129,"BROADSOFT, INC.",BSFT,Nasdaq National Market,9.0,"7,500,000","$67,500,000",2010-06-16,/market-activity/ipos/overview?dealId=112846-63617
130,Oasis Petroleum Inc.,OAS,New York Stock Exchange,14.0,"42,000,000","$588,000,000",2010-06-17,/market-activity/ipos/overview?dealId=823087-63482
131,"Higher One Holdings, Inc.",ONE,New York Stock Exchange,12.0,"9,000,000","$108,000,000",2010-06-17,/market-activity/ipos/overview?dealId=824579-63689
132,MOTRICITY INC,MOTR,Nasdaq National Market,10.0,"6,000,000","$60,000,000",2010-06-18,/market-activity/ipos/overview?dealId=683357-63176
133,"China Intelligent Lighting & Electronics, Inc.",CIL,American Stock Exchange,3.0,"3,350,000","$10,050,000",2010-06-18,/market-activity/ipos/overview?dealId=767730-63377
134,"XpresSpa Group, Inc.",VRNGU,American Stock Exchange,4.6,"2,392,000","$11,003,200",2010-06-22,/market-activity/ipos/overview?dealId=755162-63227
135,"Hudson Pacific Properties, Inc.",HPP,New York Stock Exchange,17.0,"12,800,000","$217,600,000",2010-06-24,/market-activity/ipos/overview?dealId=821535-63372
136,Fabrinet,FN,New York Stock Exchange,10.0,"8,500,000","$85,000,000",2010-06-25,/market-activity/ipos/overview?dealId=761699-62666
137,"Tesla, Inc.",TSLA,Nasdaq National Market,17.0,"13,300,000","$226,100,000",2010-06-29,/market-activity/ipos/overview?dealId=665410-63240
138,Pactera Technology International Ltd.,HSFT,Nasdaq National Market,10.0,"7,400,000","$74,000,000",2010-06-30,/market-activity/ipos/overview?dealId=831059-64496
139,AutoNavi Holdings Ltd,AMAP,Nasdaq National Market,12.5,"8,625,000","$107,812,500",2010-07-01,/market-activity/ipos/overview?dealId=830150-64418
140,ENERGY CORP OF AMERICA,ECT,New York Stock Exchange,20.0,"8,802,500","$176,050,000",2010-07-01,/market-activity/ipos/overview?dealId=38999-63760
141,"Westmoreland Resource Partners, LP",OXF,New York Stock Exchange,18.5,"8,750,000","$161,875,000",2010-07-14,/market-activity/ipos/overview?dealId=756865-63682
142,SMART Technologies Inc.,SMT,Nasdaq National Market,17.0,"38,830,000","$660,110,000",2010-07-15,/market-activity/ipos/overview?dealId=831543-64546
143,QLIK TECHNOLOGIES INC,QLIK,Nasdaq National Market,10.0,"11,200,000","$112,000,000",2010-07-16,/market-activity/ipos/overview?dealId=651529-63766
144,RealD Inc.,RLD,New York Stock Exchange,16.0,"12,500,000","$200,000,000",2010-07-16,/market-activity/ipos/overview?dealId=674388-63851
145,BIQI INTERNATIONAL HOLDINGS CORP,OINK,Nasdaq National Market,6.0,"2,000,000","$12,000,000",2010-07-20,/market-activity/ipos/overview?dealId=824086-63635
146,Camelot Information Systems Inc.,CIS,New York Stock Exchange,11.0,"13,333,334","$146,666,674",2010-07-21,/market-activity/ipos/overview?dealId=831674-64562
147,GREEN DOT CORP,GDOT,New York Stock Exchange,36.0,"4,558,050","$164,089,800",2010-07-22,/market-activity/ipos/overview?dealId=732491-63434
148,"Ameresco, Inc.",AMRC,New York Stock Exchange,10.0,"8,696,820","$86,968,200",2010-07-22,/market-activity/ipos/overview?dealId=825041-63751
149,"Molycorp, Inc.",MCP,New York Stock Exchange,14.0,"28,125,000","$393,750,000",2010-07-29,/market-activity/ipos/overview?dealId=826190-63907
150,"ENVESTNET, INC.",ENV,New York Stock Exchange,9.0,"7,000,000","$63,000,000",2010-07-29,/market-activity/ipos/overview?dealId=684332-63706
151,WILLIAMS PARTNERS L.P.,CHKM,New York Stock Exchange,21.0,"21,250,000","$446,250,000",2010-07-29,/market-activity/ipos/overview?dealId=821456-63363
152,Trius Therapeutics Inc,TSRX,Nasdaq National Market,5.0,"10,000,000","$50,000,000",2010-08-03,/market-activity/ipos/overview?dealId=703021-62513
153,MEAT TECH 3D LTD,DMED,Nasdaq SmallCap Market,7.0,"1,500,906","$10,506,342",2010-08-05,/market-activity/ipos/overview?dealId=829325-64285
154,"G-Estate Liquidation Stores, Inc.",GMAN,Nasdaq National Market,11.0,"5,357,143","$58,928,573",2010-08-05,/market-activity/ipos/overview?dealId=827035-64026
155,Ambow Education Holding Ltd.,AMBO,New York Stock Exchange,10.0,"10,677,207","$106,772,070",2010-08-05,/market-activity/ipos/overview?dealId=832935-64691
156,"IntraLinks Holdings, Inc.",IL,New York Stock Exchange,13.0,"11,000,000","$143,000,000",2010-08-06,/market-activity/ipos/overview?dealId=825687-63852
157,NUPATHE INC.,PATH,Nasdaq National Market,10.0,"5,000,000","$50,000,000",2010-08-06,/market-activity/ipos/overview?dealId=720465-64175
158,NXP Semiconductors N.V.,NXPI,Nasdaq National Market,14.0,"34,000,000","$476,000,000",2010-08-06,/market-activity/ipos/overview?dealId=757890-63906
159,United States Commodity Index Funds Trust,USCI,New York Stock Exchange,50.0,"50,000,000","$2,500,000,000",2010-08-10,/market-activity/ipos/overview?dealId=818184-62995
160,MediaMind Technologies Inc.,MDMD,Nasdaq National Market,11.5,"5,000,000","$57,500,000",2010-08-11,/market-activity/ipos/overview?dealId=614466-63520
161,China Kanghui Holdings,KH,New York Stock Exchange,10.25,"6,675,000","$68,418,750",2010-08-11,/market-activity/ipos/overview?dealId=833584-64773
162,"RealPage, Inc.",RP,Nasdaq National Market,11.0,"12,300,000","$135,300,000",2010-08-12,/market-activity/ipos/overview?dealId=630471-64014
163,MakeMyTrip Ltd,MMYT,Nasdaq National Market,14.0,"5,000,000","$70,000,000",2010-08-12,/market-activity/ipos/overview?dealId=833644-64779
164,"Electromed, Inc.",ELMD,Nasdaq SmallCap Market,4.0,"1,700,000","$6,800,000",2010-08-13,/market-activity/ipos/overview?dealId=827620-64045
165,Whitestone REIT,WSR,American Stock Exchange,12.0,"2,200,000","$26,400,000",2010-08-26,/market-activity/ipos/overview?dealId=112973-62494
166,"American Assets Trust, Inc.",AAT,New York Stock Exchange,20.5,"27,500,000","$563,750,000",2011-01-13,/market-activity/ipos/overview?dealId=837016-65140
167,ETFS Asian Gold Trust,AGOL,New York Stock Exchange,136.5,"8,500,000","$1,160,250,000",2011-01-14,/market-activity/ipos/overview?dealId=833504-64762
168,"TIBET PHARMACEUTICALS, INC.",TBET,Nasdaq National Market,5.5,"3,000,000","$16,500,000",2011-01-25,/market-activity/ipos/overview?dealId=828647-64188
169,Nielsen Holdings plc,NLSN,New York Stock Exchange,23.0,"71,428,572","$1,642,857,156",2011-01-26,/market-activity/ipos/overview?dealId=829744-64361
170,LEAF GROUP LTD.,DMD,New York Stock Exchange,17.0,"8,900,000","$151,300,000",2011-01-26,/market-activity/ipos/overview?dealId=710930-64883
171,"BankUnited, Inc.",BKU,New York Stock Exchange,27.0,"29,000,000","$783,000,000",2011-01-28,/market-activity/ipos/overview?dealId=840262-65512
172,BCD Semiconductor Manufacturing Ltd,BCDS,Nasdaq National Market,10.5,"6,000,000","$63,000,000",2011-01-28,/market-activity/ipos/overview?dealId=634789-66100
173,Velti plc,VELT,Nasdaq National Market,12.0,"12,518,008","$150,216,096",2011-01-28,/market-activity/ipos/overview?dealId=828512-64158
174,InterXion Holding N.V.,INXN,New York Stock Exchange,13.0,"20,375,252","$264,878,276",2011-01-28,/market-activity/ipos/overview?dealId=845354-66151
